seq,ros_time_sec,wall_time_iso,source,topic,height_cm,array_ground_height_cm,point_height_cm,pair_age_sec,drop_cm
114,1779458686.349737644,2026-05-22T22:04:46.349,point_fc,/height,16,,16,,
115,1779458686.354788303,2026-05-22T22:04:46.354,point_fc,/height,16,,16,,
116,1779458686.359845400,2026-05-22T22:04:46.359,point_fc,/height,15,,15,,
117,1779458686.365246534,2026-05-22T22:04:46.365,point_fc,/height,15,,15,,
118,1779458686.373801470,2026-05-22T22:04:46.373,point_fc,/height,15,,15,,
119,1779458686.374696970,2026-05-22T22:04:46.374,point_fc,/height,15,,15,,
120,1779458686.380229712,2026-05-22T22:04:46.380,point_fc,/height,15,,15,,
121,1779458686.385533810,2026-05-22T22:04:46.385,point_fc,/height,15,,15,,
122,1779458686.389922380,2026-05-22T22:04:46.389,point_fc,/height,15,,15,,
123,1779458686.399920702,2026-05-22T22:04:46.400,point_fc,/height,15,,15,,
124,1779458686.402319908,2026-05-22T22:04:46.402,point_fc,/height,15,,15,,
125,1779458686.405541897,2026-05-22T22:04:46.405,point_fc,/height,15,,15,,
126,1779458686.411465645,2026-05-22T22:04:46.411,point_fc,/height,15,,15,,
127,1779458686.415371180,2026-05-22T22:04:46.415,point_fc,/height,15,,15,,
128,1779458686.419621468,2026-05-22T22:04:46.419,point_fc,/height,15,,15,,
129,1779458686.424951553,2026-05-22T22:04:46.425,point_fc,/height,15,,15,,
130,1779458686.430139303,2026-05-22T22:04:46.430,point_fc,/height,15,,15,,
131,1779458686.434684753,2026-05-22T22:04:46.434,point_fc,/height,15,,15,,
132,1779458686.440435171,2026-05-22T22:04:46.440,point_fc,/height,15,,15,,
133,1779458686.446305990,2026-05-22T22:04:46.446,point_fc,/height,15,,15,,
134,1779458686.452133179,2026-05-22T22:04:46.452,point_fc,/height,15,,15,,
135,1779458686.455070972,2026-05-22T22:04:46.455,point_fc,/height,15,,15,,
136,1779458686.460758924,2026-05-22T22:04:46.460,point_fc,/height,15,,15,,
137,1779458686.464856148,2026-05-22T22:04:46.464,point_fc,/height,15,,15,,
138,1779458686.469755650,2026-05-22T22:04:46.469,point_fc,/height,15,,15,,
139,1779458686.471849680,2026-05-22T22:04:46.471,array_ground,/laser_array/ground_height,27,27,15,0.002094,3.000
