t_rel_s,ts_ns,values
13.060,1779427888892532884,"[0.0, -0.0, 20.0, 6.424487219192088e-05]"
13.080,1779427888912424305,"[0.0, -0.0, 20.0, 5.139589848113246e-05]"
13.100,1779427888932490433,"[0.0, -0.0, 20.0, 4.1116716602118686e-05]"
13.120,1779427888952669434,"[0.0, -0.0, 20.0, 3.289337473688647e-05]"
13.140,1779427888972324025,"[0.0, -0.0, 20.0, 2.6314699425711296e-05]"
13.160,1779427888992464235,"[0.0, -0.0, 20.0, 2.1051759176771156e-05]"
13.180,1779427889012570612,"[0.0, -0.0, 20.0, 1.6841408069012687e-05]"
13.200,1779427889032517449,"[0.0, -0.0, 20.0, 1.3473126273311209e-05]"
13.220,1779427889052449703,"[0.0, -0.0, 20.0, 1.0778500836750027e-05]"
13.240,1779427889072540622,"[0.0, -0.0, 20.0, 8.622801033197902e-06]"
13.260,1779427889092536459,"[-0.0, -0.0, 20.0, 6.898240371810971e-06]"
13.280,1779427889112338923,"[-0.0, -0.0, 20.0, 5.518592388398247e-06]"
13.301,1779427889132798212,"[-0.0, -0.0, 20.0, 4.414873728819657e-06]"
13.321,1779427889153002296,"[-0.0, -0.0, 20.0, 3.531899210429401e-06]"
13.340,1779427889172420348,"[-0.0, -0.0, 20.0, 2.8255192319193156e-06]"
13.360,1779427889192678099,"[-0.0, -0.0, 20.0, 2.2604153855354525e-06]"
13.380,1779427889212432730,"[-0.0, -0.0, 20.0, 1.8083323993778322e-06]"
13.400,1779427889232529774,"[-0.0, -0.0, 20.0, 1.4466659195022658e-06]"
13.421,1779427889252900106,"[-0.0, -0.0, 20.0, 1.1573326901270775e-06]"
13.440,1779427889272566072,"[-0.0, -0.0, 20.0, 9.258661748390296e-07]"
13.460,1779427889292391285,"[-0.3121924102306366, -1.8121888637542725, 20.0, 7.406929398712236e-07]"
13.480,1779427889312405497,"[-0.18768566846847534, -1.686740756034851, 20.0, 5.925543291596114e-07]"
13.500,1779427889332436916,"[-0.12839488685131073, -1.526647686958313, 20.0, 4.7404347469637287e-07]"
13.520,1779427889352636917,"[0.09270244836807251, -1.4611886739730835, 20.0, 3.7923479112578207e-07]"
13.540,1779427889372396799,"[0.16373391449451447, -1.4143891334533691, 20.0, 3.033878215319419e-07]"
13.560,1779427889392557717,"[0.2261381894350052, -1.3858402967453003, 20.0, 2.427102572255535e-07]"
13.580,1779427889412529929,"[0.20308108627796173, -1.2445396184921265, 20.0, 1.9416820862261375e-07]"
13.600,1779427889432517599,"[0.0, -0.0, 20.0, 1.553345612137491e-07]"
13.620,1779427889452434103,"[0.0, -0.0, 20.0, 1.2426765749751212e-07]"
13.640,1779427889472510439,"[0.0, -0.0, 20.0, 9.941412315583875e-08]"
13.660,1779427889492498109,"[-0.0, -0.0, 20.0, 7.953129710358553e-08]"
13.680,1779427889512359781,"[-0.0, -0.0, 20.0, 6.362503768286842e-08]"
13.700,1779427889532390909,"[-0.0, -0.0, 20.0, 5.0900030856837475e-08]"
13.720,1779427889552573118,"[-0.0, -0.0, 20.0, 4.072002468546998e-08]"
13.740,1779427889572387832,"[-0.0, -0.0, 20.0, 3.257601832729051e-08]"
13.760,1779427889592516667,"[-0.0, -0.0, 20.0, 2.6060815727646514e-08]"
13.780,1779427889612457088,"[-0.0, -0.0, 20.0, 2.084865258211721e-08]"
13.800,1779427889632389633,"[-0.0, -0.0, 20.0, 1.6678921355151033e-08]"
