t_rel_s,ts_ns,value
4.838,1779427880670159369,1
4.843,1779427880674977594,1
4.848,1779427880679867567,1
4.853,1779427880685146615,1
4.858,1779427880689926924,1
4.863,1779427880694914021,1
4.868,1779427880699964990,1
4.873,1779427880705012752,1
4.878,1779427880709970682,1
4.883,1779427880714848989,1
4.888,1779427880719894125,1
4.893,1779427880724849139,1
4.898,1779427880729854318,1
4.903,1779427880734938537,1
4.908,1779427880739801969,1
4.913,1779427880744916521,1
4.918,1779427880749863951,1
4.923,1779427880754997753,1
4.928,1779427880759820061,1
4.933,1779427880765031444,1
4.938,1779427880769842960,1
4.943,1779427880774770850,1
4.947,1779427880779699030,1
4.953,1779427880784803666,1
4.958,1779427880789763054,1
4.963,1779427880794850190,1
4.968,1779427880800027740,1
4.973,1779427880804827590,1
4.978,1779427880810035765,1
4.983,1779427880814983779,1
4.988,1779427880819957750,1
4.992,1779427880824755850,1
4.998,1779427880829940692,1
5.002,1779427880834759209,1
5.007,1779427880839702556,1
