t_rel_s,ts_ns,value
6.532,1779427882364745606,10
6.548,1779427882380667201,10
6.565,1779427882396797627,10
6.580,1779427882412736722,10
6.596,1779427882428564694,10
6.612,1779427882444587496,10
6.628,1779427882460524841,10
6.644,1779427882476337646,10
6.660,1779427882492479447,10
6.676,1779427882508156629,10
6.692,1779427882524223181,10
6.708,1779427882540192609,10
6.724,1779427882556015330,10
6.740,1779427882572139923,10
6.756,1779427882587874562,10
6.772,1779427882603871115,10
6.788,1779427882619852209,10
6.804,1779427882635944428,10
6.819,1779427882651640567,10
6.850,1779427882682025734,10
6.866,1779427882698074495,10
6.896,1779427882727952751,10
6.912,1779427882743909638,10
6.928,1779427882759922523,10
6.943,1779427882775715787,10
6.960,1779427882791847380,10
6.976,1779427882807846557,10
6.991,1779427882823643612,10
7.007,1779427882839276461,10
7.023,1779427882855560010,10
7.039,1779427882871407815,10
7.055,1779427882887454825,10
7.071,1779427882903082424,10
7.087,1779427882919140810,10
7.133,1779427882964877662,10
7.163,1779427882994972333,10
7.179,1779427883010953136,10
7.194,1779427883026749732,10
7.211,1779427883042825034,10
7.226,1779427883058710880,10
7.242,1779427883074536810,10
7.258,1779427883090652069,10
7.274,1779427883106439499,10
7.290,1779427883122573425,10
7.306,1779427883138253524,10
7.322,1779427883154404075,10
7.338,1779427883170352503,10
7.354,1779427883186261557,10
7.370,1779427883202504856,10
7.387,1779427883218978278,10
7.402,1779427883234021968,10
7.418,1779427883249977979,10
7.434,1779427883266020031,10
7.464,1779427883295966537,10
7.480,1779427883311784592,10
7.510,1779427883342119801,10
7.526,1779427883357938731,10
7.541,1779427883373672787,10
7.557,1779427883389601090,10
7.573,1779427883405639351,10
7.589,1779427883421683153,10
7.605,1779427883437645581,10
7.621,1779427883453488136,10
7.637,1779427883469561104,10
7.653,1779427883485604323,10
7.669,1779427883501289379,10
7.685,1779427883517272516,10
7.701,1779427883533169611,10
7.732,1779427883563946773,10
7.762,1779427883593893571,10
7.778,1779427883609997455,10
7.794,1779427883625948509,10
7.809,1779427883641695689,10
7.825,1779427883657582577,10
7.842,1779427883673867584,10
7.857,1779427883689694681,10
7.873,1779427883705473361,10
7.889,1779427883721417998,10
7.905,1779427883737397051,10
7.921,1779427883753358895,10
7.937,1779427883769091785,10
7.953,1779427883785124504,10
7.969,1779427883801216722,10
7.985,1779427883817214733,10
8.001,1779427883833712363,10
8.017,1779427883848962550,10
8.033,1779427883864915353,10
8.078,1779427883909839340,10
8.094,1779427883926015849,10
8.124,1779427883955937272,10
8.140,1779427883971935283,10
8.155,1779427883987723005,10
8.172,1779427884003847598,10
8.188,1779427884019930482,10
8.204,1779427884035814745,10
8.219,1779427884051688507,10
8.235,1779427884067614186,10
8.251,1779427884083562614,10
8.267,1779427884099231629,10
8.283,1779427884115154683,10
8.299,1779427884131298234,10
8.315,1779427884147269995,10
8.331,1779427884163230090,10
8.347,1779427884179040853,10
8.363,1779427884195088739,10
8.379,1779427884211032500,10
8.409,1779427884240911924,10
8.425,1779427884256993350,10
8.441,1779427884272800030,10
8.456,1779427884288669126,10
8.472,1779427884304447223,10
8.488,1779427884320485192,10
8.504,1779427884336688242,10
8.520,1779427884352586796,10
8.536,1779427884368320269,10
8.552,1779427884384236322,10
8.568,1779427884400395915,10
8.584,1779427884416249844,10
8.600,1779427884432111649,10
8.616,1779427884447894996,10
8.632,1779427884464209461,10
8.648,1779427884480096932,10
8.664,1779427884496343148,10
8.680,1779427884511807707,10
8.725,1779427884556993025,10
8.741,1779427884572824788,10
8.771,1779427884603227163,10
8.787,1779427884619075551,10
8.803,1779427884634997021,10
8.818,1779427884650677578,10
8.834,1779427884666694255,10
8.850,1779427884682655517,10
8.866,1779427884698755610,10
8.882,1779427884714691788,10
8.898,1779427884730526176,10
8.914,1779427884746545187,10
8.930,1779427884762354784,10
8.946,1779427884778131131,10
8.962,1779427884794190891,10
8.978,1779427884810057737,10
9.024,1779427884856034753,10
9.054,1779427884886283714,10
9.070,1779427884901790564,10
9.085,1779427884917589952,10
9.101,1779427884933678671,10
9.117,1779427884949732389,10
9.133,1779427884965542861,10
9.149,1779427884981463581,10
9.165,1779427884997596341,10
9.181,1779427885013452895,10
9.197,1779427885029464031,10
9.213,1779427885045375126,10
9.229,1779427885061048516,10
9.245,1779427885077281608,10
9.261,1779427885093294202,10
9.277,1779427885108885926,10
9.293,1779427885124848354,10
9.309,1779427885140935031,10
9.325,1779427885156856335,10
9.341,1779427885172836554,10
9.371,1779427885203008224,10
9.387,1779427885219570019,10
9.403,1779427885234819331,10
9.418,1779427885250709719,10
9.434,1779427885266753813,10
9.450,1779427885282668700,10
9.466,1779427885298631128,10
9.482,1779427885314442183,10
9.498,1779427885330501151,10
9.514,1779427885346443746,10
9.530,1779427885362401799,10
9.546,1779427885378012774,10
9.562,1779427885394209115,10
9.578,1779427885410184085,10
9.594,1779427885426187054,10
9.610,1779427885441940652,10
9.626,1779427885457810623,10
9.642,1779427885473944549,10
9.687,1779427885518997451,10
9.702,1779427885534755424,10
9.733,1779427885564897635,10
9.748,1779427885580687690,10
9.765,1779427885596917865,10
9.781,1779427885612769170,10
9.796,1779427885628679974,10
9.812,1779427885644490445,10
9.829,1779427885660998575,10
9.844,1779427885676687131,10
9.860,1779427885692476020,10
9.876,1779427885708147952,10
9.892,1779427885724431501,10
9.908,1779427885740441762,10
9.924,1779427885756411190,10
9.940,1779427885772083413,10
9.986,1779427885818026471,10
10.015,1779427885847695022,10
10.032,1779427885864095112,10
10.047,1779427885879744127,10
10.064,1779427885895880386,10
10.079,1779427885911483777,10
10.095,1779427885927735535,10
10.111,1779427885943512465,10
10.127,1779427885959693641,10
10.143,1779427885975278365,10
10.159,1779427885991323334,10
10.175,1779427886007340303,10
10.191,1779427886023440688,10
10.207,1779427886039213535,10
10.223,1779427886055067756,10
10.239,1779427886071063725,10
10.270,1779427886102018219,10
10.300,1779427886131939350,10
10.316,1779427886147780446,10
10.335,1779427886167704242,10
10.348,1779427886180029923,10
10.363,1779427886195432358,10
10.379,1779427886211619659,10
10.395,1779427886227370339,10
10.411,1779427886243286685,10
10.427,1779427886259319404,10
10.443,1779427886275347164,10
10.459,1779427886291255343,10
10.475,1779427886307150105,10
10.491,1779427886323193032,10
10.507,1779427886339282917,10
10.523,1779427886354978182,10
10.539,1779427886370807320,10
10.555,1779427886387000745,10
10.571,1779427886402841550,10
10.587,1779427886418983059,10
10.602,1779427886434596658,10
10.618,1779427886450639877,10
10.634,1779427886466562347,10
10.665,1779427886496841641,10
10.680,1779427886512709570,10
10.711,1779427886542890281,10
10.727,1779427886558927958,10
10.742,1779427886574592015,10
10.758,1779427886590595276,10
10.774,1779427886606613120,10
10.790,1779427886622738588,10
10.806,1779427886638505310,10
10.822,1779427886654528987,10
10.838,1779427886670412958,10
10.854,1779427886686641966,10
10.870,1779427886702453021,10
10.886,1779427886718234035,10
10.902,1779427886734149505,10
10.918,1779427886750200307,10
10.934,1779427886766004654,10
10.950,1779427886782323494,10
10.981,1779427886812834077,10
11.011,1779427886842867498,10
11.027,1779427886858846259,10
11.042,1779427886874620564,10
11.058,1779427886890606909,10
11.074,1779427886906517421,10
