t_rel_s,ts_ns,values
15.397,1779427891229258313,"[0, 0]"
15.465,1779427891297039352,"[0, 0]"
15.533,1779427891365431425,"[0, 0]"
15.597,1779427891429143472,"[0, 0]"
15.665,1779427891497133634,"[0, 0]"
15.742,1779427891574155725,"[0, 0]"
15.808,1779427891640241910,"[0, 0]"
15.875,1779427891707589830,"[0, 0]"
15.945,1779427891776913766,"[0, 0]"
16.009,1779427891841214098,"[0, 0]"
16.074,1779427891906530584,"[0, 0]"
16.142,1779427891974643536,"[0, 0]"
16.208,1779427892040425808,"[0, 0]"
16.265,1779427892097298356,"[0, 0]"
16.332,1779427892164454070,"[0, 0]"
16.402,1779427892234033503,"[0, 0]"
16.464,1779427892295965239,"[0, 0]"
16.531,1779427892363715654,"[0, 0]"
16.601,1779427892433351961,"[0, 0]"
16.666,1779427892498000831,"[0, 0]"
16.735,1779427892567290934,"[0, 0]"
16.798,1779427892630397489,"[0, 0]"
16.876,1779427892708138239,"[0, 0]"
16.941,1779427892773046105,"[0, 0]"
17.003,1779427892834811593,"[0, 0]"
17.092,1779427892924455988,"[0, 0]"
17.138,1779427892969882219,"[0, 0]"
17.199,1779427893030914799,"[0, 0]"
17.281,1779427893113001037,"[0, 0]"
17.332,1779427893164710274,"[0, 0]"
17.398,1779427893229957344,"[0, 0]"
17.467,1779427893299538236,"[0, 0]"
17.537,1779427893369658996,"[0, 0]"
17.613,1779427893444981276,"[0, 0]"
17.667,1779427893499636018,"[0, 0]"
17.742,1779427893574679468,"[0, 0]"
17.809,1779427893640809694,"[0, 0]"
17.879,1779427893710788789,"[0, 0]"
17.937,1779427893768926572,"[0, 0]"
18.003,1779427893835459876,"[0, 0]"
18.076,1779427893908582141,"[0, 0]"
18.135,1779427893967591705,"[0, 0]"
18.205,1779427894037358094,"[0, 0]"
18.275,1779427894106930236,"[0, 0]"
18.343,1779427894175268935,"[0, 0]"
18.410,1779427894241828489,"[0, 0]"
18.471,1779427894303115941,"[0, 0]"
18.536,1779427894368286888,"[0, 0]"
18.609,1779427894441075198,"[0, 0]"
18.672,1779427894504068296,"[0, 0]"
18.743,1779427894575496874,"[0, 0]"
18.809,1779427894641027440,"[0, 0]"
18.877,1779427894708966311,"[0, 0]"
18.936,1779427894767947000,"[0, 0]"
19.000,1779427894831780963,"[0, 0]"
19.066,1779427894897825440,"[0, 0]"
