t_rel_s,ts_ns,value
22.075,1779427897906901784,nan
22.138,1779427897970553749,nan
22.207,1779427898039097195,nan
22.272,1779427898104446931,nan
22.339,1779427898171305731,nan
22.397,1779427898229181892,nan
22.470,1779427898302184575,nan
22.541,1779427898373117325,nan
22.600,1779427898431815810,nan
22.668,1779427898500065968,nan
22.737,1779427898568834870,nan
22.805,1779427898637587730,nan
22.873,1779427898705472310,nan
22.940,1779427898772600607,nan
23.002,1779427898833988391,nan
23.071,1779427898902883875,nan
23.136,1779427898967934947,nan
23.202,1779427899034378711,nan
23.266,1779427899098093967,nan
23.336,1779427899168303976,nan
23.397,1779427899228808896,nan
23.470,1779427899301791746,nan
23.536,1779427899368333509,nan
23.604,1779427899435944217,nan
23.674,1779427899506274099,nan
23.731,1779427899562801319,nan
23.808,1779427899639992867,nan
23.897,1779427899729623261,nan
23.946,1779427899778153371,nan
24.001,1779427899832901446,nan
24.069,1779427899901562724,nan
24.137,1779427899968802436,nan
24.204,1779427900036309603,nan
24.271,1779427900103027530,nan
24.337,1779427900168996758,nan
24.402,1779427900234629991,nan
24.474,1779427900306356356,nan
24.540,1779427900372646997,nan
24.602,1779427900434327319,nan
24.667,1779427900499192602,nan
24.743,1779427900574852336,nan
24.803,1779427900635192758,nan
24.872,1779427900703786079,nan
24.938,1779427900769867306,nan
25.008,1779427900840435477,nan
25.068,1779427900900643193,nan
25.139,1779427900971590526,nan
25.207,1779427901039007278,nan
25.270,1779427901101864752,nan
25.339,1779427901171459936,nan
25.426,1779427901257870370,nan
25.464,1779427901296676725,nan
25.535,1779427901366990857,nan
25.603,1779427901435469846,nan
25.674,1779427901506461512,nan
25.740,1779427901572227451,nan
25.807,1779427901639085376,nan
25.874,1779427901706735750,nan
25.940,1779427901772570230,nan
26.009,1779427901841470672,nan
26.064,1779427901896312204,nan
26.145,1779427901976793711,nan
26.225,1779427902057281635,nan
26.269,1779427902101580005,nan
26.341,1779427902173226163,nan
26.407,1779427902239264224,nan
26.471,1779427902302988229,nan
26.538,1779427902370122068,nan
26.632,1779427902464673360,nan
26.665,1779427902497457456,nan
26.741,1779427902573592017,nan
26.803,1779427902635446837,nan
26.874,1779427902706117674,nan
26.934,1779427902765935436,nan
27.004,1779427902835884407,nan
27.068,1779427902900156447,nan
27.137,1779427902969166555,nan
27.205,1779427903036953510,nan
27.264,1779427903096154113,nan
27.334,1779427903166058459,nan
27.402,1779427903233765124,nan
27.470,1779427903302439236,nan
27.532,1779427903364534720,nan
27.624,1779427903456440086,nan
27.669,1779427903500833247,nan
27.739,1779427903571746747,nan
27.807,1779427903639037209,nan
